Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
xWC_YD8QnJo,"el hacer scroll me ha echo la persona mas procrastinadora, perdí la noción de ser productivo y metas","Jul 27, 2023",61,1,0.0055,0,,10,0
b_qVy22Wpso,Se regresó para terminar el medio maratón del Atlas conmigo #mediomaraton #shorts,"Sep 4, 2024",54,1,0.0017,0,0.001,11,0
89btQZQxmS8,Snoop Dogg presente en las fiestas de octubre con la banda MS,"Oct 14, 2024",41,1,0.0113,0,,2,0
ln9Qte9u-R8,Sayula Carnaval 2020 || Absa Garcia,"Apr 9, 2020",1349,1,0.064,0,,73,0
oDVXxqSRxkQ,Consejos Para Un Cetiano || Podcast Café Con Absa,"Sep 6, 2020",2256,1,0.006,0,,14,7.14
WA1RNuxjivQ,¿Qué iPad comprar en el 2024?,"Nov 7, 2023",55,1,0.0017,0,0.001,10,0
ELcvJgaLgXE,Que gadget debes llevar en un vuelo?,"Jul 21, 2023",44,1,0.0006,0,,21,0
IuepN-uzuB4,No soy el único verdad?,"May 8, 2026",8,1,0.0003,0,,6,0
cvFosBOAngc,JMJ Lisboa 2023,"Jul 31, 2023",51,1,0.0004,0,,2,0
bVJurM-4Kww,Cafe con Absa #122 | Que regalar en navidad,"Dec 5, 2021",1630,1,0.0008,0,0.004,6,0
Ospdl8pTLko,"El Sindrome de Burnout, Así es como me recupere","Jul 2, 2020",761,1,0.0836,0,,8,0
NTIcudXj4bI,"Mariachi Vargas: San Gabriel, sobreviviendo con $100, Entrevista Mariachi Vargas Fiestas 2018.","Feb 9, 2018",889,1,0.0154,0,,23,4.35
_ZsC_8aRxsM,Charros de Jalisco x New Era 2026,"Apr 15, 2026",15,1,0.0008,0,,6,0
XhoGWMml3S8,¿Que Gadgets Llevo En Mi Mochila? | Tech Travel Bag,"Oct 4, 2018",620,1,0.0009,0,,5,20
2TZOQrrvKMM,Termine mi primer medio maratón #21km #guadalajara #gdl #runner,"Feb 27, 2023",18,1,0.0004,0,,19,0
0K4C7Xauaug,¿Porque Odiamos Regresar A Clases? || Podcast Cafe Con Absa,"Aug 11, 2019",1325,1,0.0031,0,,0,
wAqKpetoDso,No se cual será la siguiente estación del tren,"Feb 17, 2023",29,1,0.008,0,0.001,2,0
LzKJUbl_DkA,Final Cut Pro iPad versión 2.0 (FCP),"Jun 23, 2024",60,1,0.0067,0,0.009,40,0
0_PWZqA245w,No compres un iPhone por estas fechas Sería el primer iPhone que ¿cuente con usb-c? #apple #iphone15,"Aug 29, 2023",27,0,0,0,,0,
bXbFIVGLA5o,Sin Google maps ya no salgo a ningún lado!,"Aug 3, 2023",59,0,0,0,,1,0
JV0bhkn0GKo,"Papa Francisco, te he mirado en la JMJ","Aug 3, 2023",6,0,0,0,,6,0
AghFvhS5nj4,¿Qué es importante para ti?,"Oct 28, 2023",19,0,0,0,,11,0
o-cYHD8Nfs0,Cruzar el Golden Gate Bridge En Bici San Francisco | Absa Garcia,"Feb 21, 2019",450,0,0,0,,7,0
0UfbgCEi0ZU,Matcha pasteurizado,"Apr 6, 2026",17,0,0,0,,2,0
uIbbtp9r9BA,Lugar donde das dinero por cualquier cosa,"Apr 8, 2025",24,0,0,0,,1,0
Rp_ukoP2odo,"Maratón GDL 2025, hoy fui porra","Nov 30, 2025",60,0,0,0,,25,0
XdfJ0jGzthc,Save the date! Apple WWDC 23,"Mar 29, 2023",16,0,0,0,,0,
YIjVjkXyiPs,La cagaron y me dieron otro café,"Jul 24, 2023",31,0,0,0,,0,
0UXfFJj7EpY,Actualizar y ver que tiene de nuevo 😎,"Oct 26, 2022",5,0,0,0,,8,0
KTMvFGn2Y1Y,¿Como Es El Barrio Chino De San Francisco? | Absa Garcia,"Jan 4, 2019",577,0,0,0,,0,
kkY9jAQVFU8,Talent land 2019. Día 3,"May 30, 2019",375,0,0,0,,0,
mo5TFSLIlWk,Consejo de viajero,"Nov 8, 2022",4,0,0,0,,0,
pP5f09rnk1o,Tecnológia en mi Rutina Diaria parte 2 #smartphone #applewatch #appleaccessory #applepencil #ios,"Aug 2, 2024",56,0,0,0,,16,0
GDKfBOYmQFc,"Café con Absa, libros que estoy leyendo en la caminadora parte 2","Aug 10, 2023",60,0,0,0,,3,0
mWiKQSI7eKE,"Apple tazas, me hace falta una para que mi Mac envíe mejor los correos 😍","Sep 29, 2023",7,,,,,2,0
SKZZw288MXA,#23 Tech-Life Balance: Consejos para encontrar equilibrio entre la tecnología y el estilo de vida,"Jul 24, 2023",734,,,,,10,0
F2tK8nQKnO8,¿Como Empezar En Notion? || Absa Garcia,"Jul 30, 2020",879,,,,,3,0
oM2JGUdPTt0,Hábitos de Huevón 🥱,"Apr 16, 2024",33,,,,,1,0
SiFV9Ec5DFk,Por esto leo en el Gimnasio,"Mar 6, 2024",61,,,,,1,0
7AeIqp8g1DI,El motivo por el cual no me contratan en el trabajo,"Jul 25, 2021",1905,,,,,7,0
W7GdS4U_9Vs,La birria se come con las manos!,"Jan 18, 2022",20,,,,,4,0
B73St8i6cqs,Nada en la Vida era Privado || Podcast Cafe con Absa,"Jan 31, 2021",2456,,,,,5,0
R87vcLVdiYg,Yo no elegí nada,"Dec 31, 2025",25,,,,,3,0
Y7snJHDr2gQ,Cafe con Absa 116. ¡CAGALA!,"Oct 25, 2021",1252,,,,,6,0
XI1fqm2gKjU,Quisiera estar endeudado pero en Roma,"Apr 1, 2025",11,,,,,1,0
nvu4Z7zVqLs,"021. Threads vs Twitter, ¿Quien gana?","Jul 12, 2023",1198,,,,,8,0
NJJr6yVbBsQ,Salvese Quien Pueda || Podcast Cafe con Absa,"Aug 9, 2020",2370,,,,,4,0
nwK-QtKV63E,Se lo que quieras ser…,"Sep 3, 2025",11,,,,,1,0
aNCI4dBP8lc,"El iPad Pro con m2 es como una Mac, yo creo que sería lo ideal para las personas que no programan","Aug 13, 2023",59,,,,,2,0
KcQN79cz_mg,Amo New York,"Feb 5, 2023",25,,,,,1,0
DRMt7Qb4ZC0,¿iPad pro puede sustituir a una Mac?,"Sep 21, 2023",41,,,,,10,0
57l-bJ1HrDQ,Así se ve un día de planing en mi trabajo,"Jun 27, 2023",56,,,,,1,0
xRqvzZFjmUs,Esto le falta al Apple Watch,"Jun 17, 2024",22,,,,,1,0
ctz_jspb9Kk,Cuales son los usos del blockchain #blockchain,"Sep 4, 2023",23,,,,,2,0
F0RAJv799F8,"iPhone 15 pro Max, ¿Cuál comprarías?","Sep 29, 2023",7,,,,,1,0
D5gvQ-vafNI,012  El ultimo café...,"Dec 20, 2022",787,,,,,6,0
dUMuLt9jB5w,Tecnológia en mi Rutina Diaria #lifestyle  #applewatch #iphone,"Aug 1, 2024",60,,,,,1,0
8W5k9hI5VUc,"Café con Absa, libros que estoy leyendo en la caminadora parte 5","Aug 13, 2023",60,,,,,6,0
BVnqBuRycxw,El Despertar De Las Redes Sociales (El Dilema De Las Redes Sociales) || Podcast Cafe Con Absa,"Sep 27, 2020",2239,,,,,3,0
BXPKDaJ8Jjk,Errores Financieros De Los Millennials || Podcast Café Con Absa,"Nov 15, 2020",2489,,,,,4,0
7-60eU8H0tE,Osmo pocket vs iPhone,"Apr 6, 2026",13,,,,,3,0
fLw1ATKb8OM,"Batería Anker, La mejor para tu iPhone","Jan 6, 2024",418,,,,,17,0
46jFhQ3nd-A,Un sábado conmigo ✌🏻,"Jun 24, 2023",55,,,,,3,0
sb5ORtd0fPQ,Primeras Impresiones MacBook Air m1,"Sep 30, 2021",155,,,,,5,0
H6j2Hj3zNgs,Si terminé el medio maratón de GDL Parte 3,"Feb 27, 2024",41,,,,,1,0
C9av7AQC1Fo,Cafe con Absa #117  Los Secretos de Walt Disney,"Oct 31, 2021",2841,,,,,6,0
8MtA6AMuJ9k,¿Cual cámara comprar para YouTube en el 2023?,"Aug 31, 2023",44,,,,,5,0
fc4OLKPPyAo,iPad 2017  Análisis y EL MEJOR ACCESORIO PARA ESTUDIANTES.,"Jan 5, 2018",621,,,,,5,0
yswsqsa-ktI,¿Como ser Autodidacta?,"Aug 8, 2021",1870,,,,,8,0
4PqaNCq-SuA,Vale La Pena Conocer San Francisco?,"Mar 1, 2019",770,,,,,3,0
kruazTHCriY,Mis objetivos para el 2023 (Neta),"Jan 7, 2023",191,,,,,7,0
kf1BzggNQXQ,Inteligencia Artificial En La Industria || Podcast Cafe Con Absa,"Nov 1, 2020",2494,,,,,3,0
9yL-Ad0fRks,¿Cómo Hacer Clips Para Instagram 2021?,"Aug 26, 2021",873,,,,,5,0
MEUsv93_miE,¿Cual empresa será la dueña de la inteligencia artificial?,"Feb 12, 2023",49,,,,,1,0
ETR36zwSeqo,"Gatorade g15, como arreglar tu número?","Nov 8, 2025",43,,,,,1,0
1eaQTOGw6Co,Optimiza la velocidad de tu laptop o Mac con discos duros separados  #youtubecreator,"Apr 1, 2024",19,,,,,6,0
NnumOsvgNzw,Quien es Absa García y de que es este canal.,"Feb 28, 2017",250,,,,,2,0
ybY6m70Bn1Y,¿Que le diría a mi yo de 20 años?,"Sep 20, 2023",33,,,,,1,0
CpduF32d5fM,Feliz Año Nuevo 2021 y ser mejor 1% Cada Dia,"Jan 1, 2021",468,,,,,5,0
EaPzzMsIieg,¿Cómo sobresalir en tu emprendimiento? || Café con Absa,"Oct 3, 2021",1019,,,,,5,0
ousC8BfC08E,Mi opinión de las mejores funciones de los AirPods 4,"Mar 28, 2025",23,,,,,4,0
6tjffOBU6xg,Feliz Navidad 2020 de Absa Garcia,"Dec 24, 2020",292,,,,,4,0
1LRILX0tc38,"Monk Mode, una forma de desconectarte de los demás y ser más productivo","Mar 2, 2023",60,,,,,1,0
KMGL1ddLEJc,¿Por qué Etherum es mejor que Bitcoin? | Podcast Cafe con Absa,"May 30, 2021",3109,,,,,7,0
dNHwgp6boMU,De Animadora Digital a Cerrar la Brecha de género en la Ciencia y en la Tecnología (Ft. Ana Karen),"Mar 5, 2021",5048,,,,,8,0
axFmko8knP0,Nuevo Canal De Programación || Absa Garcia,"Jun 18, 2020",406,,,,,3,0
nHcLMGg7tPU,10.  Si me voy a la bancarrota que sea viajando.,"Nov 22, 2022",528,,,,,6,0
G6kuWN3pt-E,"Apple iPad, uno de mis gadgets favoritos en mi día a día","Mar 20, 2023",42,,,,,6,0
wts37R5LIhI,Como Hacer Alambrismo,"Apr 16, 2020",443,,,,,3,0
pui2ZTKvlf8,"Hoy en nuestro a día a día el iPhone es algo fundamental, Cafe con Absa","Aug 2, 2023",60,,,,,1,0
p6qJkbEmkyM,La Generación Más Afectada Por el COVID Los Millennials || Podcast Café Con Absa,"Nov 29, 2020",3009,,,,,3,0
ephu9b7WtlY,TIPS para hacerte viral en redes sociales,"Jan 16, 2023",216,,,,,6,0
y_h9f1ndmRw,Libertad Financiera para Millennials || Podcast Cafe con Absa,"Dec 6, 2020",3357,,,,,3,0
u6JzYUaVYSg,¿CUAL ES EL MEJOR PROGRAMA PARA EDITAR VIDEOS? ¿COMO ELEGIR UN EDITOR DE VIDEO?,"Oct 21, 2021",500,,,,,6,0
udC5sAFChcE,Sobreviví al Medio maratón en Guadalajara,"Feb 26, 2024",161,,,,,11,0
zw5_t3W4KMQ,Mi Primer Semana De Clases En Linea || Absa Garcia,"Oct 1, 2020",2252,,,,,9,0
Ew39EdS3VlY,¿Qué sigue despues de graduarte?,"Aug 5, 2021",305,,,,,24,0
7ed3ar6R1Xg,Ya ni el café me despierta ☕️,"Apr 12, 2023",23,,,,,1,0
UWD1VDNHBys,La Nueva Normalidad || Podcast Cafe Con Absa,"Jun 14, 2020",2072,,,,,3,0
w9VIi4AXAsA,"Maratón de Guadalajara, rompí mi récord de velocidad","Nov 25, 2024",25,,,,,7,0
45GGcKDqX-o,Los Mejores Consejos para un freelancer,"Apr 18, 2021",2768,,,,,10,0
KrkQi4WqiQw,"La parte de tener una novia fit, recomiendo no saltársela #virtualchallenge #teamchallenge","Jul 7, 2024",7,,,,,3,0
DjEHbmuEYlk,Me hace falta volver a Lisboa,"Apr 4, 2025",12,,,,,3,0
qn0Z8g4OuQg,🚩🚩🚩 Del Emprendimiento,"Feb 16, 2022",862,,,,,6,0
L0buqQ74t1c,Café con Absa # 121 - Quiero un NFT!!,"Nov 28, 2021",1472,,,,,7,0
6YuelRgbx-8,Adios café con Absa,"Mar 5, 2024",239,,,,,11,0
TIPUgAu8_Q4,Como Inspirar a un Millennial || Podcast Cafe Con Absa,"Feb 14, 2021",2970,,,,,5,0
or2PYFkw3n0,Necesitaba apoyo para terminar el medio maratón de GDL,"Feb 27, 2024",61,,,,,1,0
n4_jif_nyYE,Notion + IA 😍,"Feb 6, 2023",13,,,,,1,0
qQgcHYs_I5s,Conocí primero water of color que GDL luz,"Apr 26, 2026",28,,,,,4,0
aX_UOWTeiFo,Que te hace feliz?,"Dec 30, 2025",24,,,,,1,0
sqgftEy1-C4,¿Quién más como yo?,"Oct 20, 2025",11,,,,,1,0
tjt7MOGJGw4,No Tengas Miedo de Ser Ingeniero (ft.Perla Rodriguez) || Entrevistando ex-Cetianos,"Jun 3, 2021",4422,,,,,14,0
E8l0oYbHINE,Mi ultimo video,"Nov 7, 2025",77,,,,,1,0
hVkcnup9rRc,Mi crítica a Talent Land 2023,"Apr 29, 2023",885,,,,,10,0
y2BVmjOhmig,"Es broma, pero no es broma, aquí respetamos sus gustos. #cafe #café #cafevlog #broma","Oct 3, 2024",12,,,,,4,0
odvcgDGAS20,"Lisboa, Portugal, está chida","May 24, 2024",23,,,,,1,0
0gibc0O0xPs,"Aveces tengo las ideas, solo lo que me habia faltado anteriormente era un sistema.","Feb 24, 2023",59,,,,,1,0
FVMgJThYRAc,San Gabriel Jalisco ¿Como Se Vive Un Fin De Semana?,"Aug 22, 2019",753,,,,,3,0
TII6MNWDYRw,Café con Absa #119   La Actitud es Sinónimo de BTC,"Nov 15, 2021",1429,,,,,7,0
Q3IXvtM-6Tw,"El iPhone 15 pro Max, ¿es mejor? #apple  #iphone15","Sep 15, 2023",60,,,,,1,0
fIKhOH1xHhE,Problemas de Millennials || Podcast Cafe Con Absa,"Dec 20, 2020",2573,,,,,4,0
PFYtgMQwksk,Tecnológia en mi Rutina Diaria Parte 3 #tech #techlife,"Aug 3, 2024",59,,,,,11,0
zTc57LwzQ70,#hacklife para ir al #sams,"Dec 24, 2022",29,,,,,1,0
If9uFdQow-0,Cafe con Absa #123 El secreto de las INVERSIONES es la paciencia.,"Dec 12, 2021",1530,,,,,8,0
YmOMKe60NvI,iOS 17 ya disponible para todos los iPhone,"Sep 18, 2023",40,,,,,2,0
UQye-IpkIys,"Antes tenia mi sistema en papel, ahora lo tengo todo en digital para poderlo hacer mantenible","Feb 15, 2023",58,,,,,3,0
6mMJujNLNDk,Apple Music Classic! Saldrá bad bunny en Ella?😂,"Mar 10, 2023",16,,,,,1,0
4RfOzDH3ug8,#25 Que estoy leyendo en el gimnasio,"Aug 7, 2023",580,,,,,8,0
6Qlewls-OOQ,10 Tips de como invertir tu quincena,"Aug 1, 2021",1865,,,,,5,0
EfiNZmvFFoY,Cual es la CLAVE PARA CREAR CONTENIDO EN EL 2023?,"Nov 27, 2023",14,,,,,1,0
KQgvNfOQfBE,"iOS 18, mi función favorita hasta el momento.","Jun 29, 2024",51,,,,,2,0
RHePt2DMViM,Millennials ¿Qué Habilidades de Ventas Necesito Para El 2021? || Podcast Café Con Absa,"Dec 13, 2020",3157,,,,,5,0
yDkydoU4QYs,El cambio es una oportunidad para crecer si la sabes aprovechar!,"Jun 28, 2023",60,,,,,1,0
Qq3V-C6AJtw,¿Cómo COMBATIR el ESTRÉS? 5 Consejos,"Oct 10, 2021",2340,,,,,6,0
sDVWVZ_Y3tk,Algo de #humor,"Jun 29, 2024",11,,,,,1,0
HDrjjcsATqM,La Revolución Financiera Que se necesitaba || Podcast Café Con Absa,"Feb 7, 2021",2769,,,,,4,0
h5-RCYMmBoI,No entiendo porque Facebook desarrolla inteligencia artificial!,"Jun 22, 2023",60,,,,,27,0
z3-Y2Ryadpw,¿Como besar fresco?,"Jan 7, 2023",10,,,,,30,0
VmCuXc6J9I4,Aveces es mi MacBook Air y yo contra el mundo!,"Mar 1, 2023",19,,,,,3,0
zj_PMz9os08,Triste realidad,"Nov 10, 2023",11,,,,,1,0
cfumIRIYY5g,De a peso a peso se completa,"Apr 3, 2025",5,,,,,1,0
vPgIfyZgf9w,¿Porqué fracaso en TODO?,"Sep 26, 2021",1611,,,,,5,0
gj4Utt-3XJM,¿Cuál es la mejor carrera pagada del futuro?,"Feb 21, 2022",2227,,,,,9,0
b33ViIchHXk,¿Cómo Adaptar tu Negocio a estas Circunstancias? || Podcast Café Con Absa,"Mar 14, 2021",3133,,,,,6,0
djkpTsJvecw,Cómo hago mi ☕,"Feb 10, 2023",30,,,,,1,0
kSruHzS_DTk,Serían yo nomas tomando café en la oficina,"May 15, 2023",7,,,,,3,0
FhAZaS-_PIU,Lo mejor de mi 2025,"Dec 26, 2025",9,,,,,2,0
46fsNac7axo,#24 La revolución digital y las tendencias de estilo de vida,"Jul 31, 2023",827,,,,,8,0
 -Wey0FXE76g,Tecnologia que nos acerca a ser dioses,"Jul 22, 2023",60,,,,,1,0
vr1oGGnGzBw,Échale ganas (Entrevistando a un ex cetiano Alejandro Cruz),"Apr 2, 2021",8183,,,,,10,0
NbfedIWX4vU,Lo que importa es el Proceso,"Sep 12, 2021",1781,,,,,6,0
pseJN7Ib7es,Como Hacer Un Espacio De Trabajo Y Estudio? || Podcast Café Con Absa,"May 25, 2020",2287,,,,,4,0
018b_VIxEJI,¿Qué acciones comprar en el 2024? T5 E3,"Dec 27, 2023",907,,,,,10,0
sfFMohlxhMQ,¿Como Empezar Un Negocio Online? || Podcast Café Con Absa,"Apr 12, 2020",2163,,,,,3,0
UL5KsSRGvaM,8 Habitos De Estudiantes Altamente Exitosos,"Nov 8, 2018",724,,,,,8,0
hFWoGDoC8GU,Microsoft To Do La App De Gestion De Tareas Que Uso Para La Universidad || Absa Garcia,"Oct 22, 2020",608,,,,,8,0
qb_MQYk0paw,¿Cómo hago mi Café?,"Nov 18, 2021",120,,,,,6,0
Doxcl2puL3o,Deja de ver Netflix y aborda estos 8 proyectos tecnológicos || Podcast Cafe Con Absa,"Apr 19, 2020",2554,,,,,5,0
LrDu75fD1YU,¿Como Balanceo el trabajo y mi vida?,"Sep 19, 2021",1425,,,,,6,0
aVAmDNA8DOQ,Nuevo podcast!,"Jul 13, 2022",25,,,,,1,0
CmP7gP22VsQ,Baseball analista dice cuál fue su jersey favorito de charros,"Apr 15, 2026",32,,,,,5,0
T9Bj9L5OZ74,What do you think about the JMJ 2023 Lisbon Portugal?,"Sep 11, 2023",91,,,,,9,0
NtHm13KOAmw,Como Aprovechar Las Clases En Linea || Podcast Café Con Absa,"Aug 16, 2020",2490,,,,,3,0
5L5LJXCL1to,Mejora la calidad de tu audio en YouTube con estos micrófonos  #youtubecreator  #contentcreator,"Apr 2, 2024",56,,,,,2,0
2A5UF4kvqBM,La Regla Del Netflix,"Nov 13, 2020",569,,,,,5,0
Ety9STOwMhE,Sin contexto 🫰🏻,"May 4, 2024",6,,,,,1,0
oUvejKaEsMs,Guía Definitiva: Cómo Iniciar un Podcast desde Cero - Estrategias y Consejos para empezarlo en 2024,"Nov 22, 2023",503,,,,,13,0
2WvaiT5uIss,2023 en fotos 📷,"Jan 1, 2024",23,,,,,1,0
7_0ANQeL2Pg,Es algo simple pero que te alegra el día,"Mar 8, 2024",11,,,,,1,0
WjroIkLodsU,Guarden su ropa no sean así,"Feb 13, 2024",11,,,,,3,0
hGAzv4bPg4M,Lo único que me gusta de ir al gym,"Sep 9, 2022",10,,,,,1,0
VCje2OKRm3g,CHARROS X NEW ERA de la LMP,"Sep 23, 2024",42,,,,,1,0
uBjXqu0I-ew,Los amigos son los que menos te apoyan en redes sociales,"Feb 28, 2026",8,,,,,3,0
VmdHEdS9-o8,Donde sea 🥱,"Dec 28, 2023",5,,,,,1,0
sqOC5qIXJ_s,¿Debemos dejar de seguir a los Coaches? || Podcast Café con Absa,"Mar 28, 2021",2331,,,,,6,0
nieoullXWSo,Explorando el Starbucks Reserve Bar en el Empire State Building de Nueva York,"Sep 28, 2023",195,,,,,17,0
uEEX0Sw65lI,05. Apple visión pro (Computación espacial),"Feb 4, 2024",727,,,,,15,0
bzJO3pj1W1E,¿Cómo bajar de Peso?,"May 30, 2022",746,,,,,6,0
nesH_a5llUA,¿Cómo cerrar el 2020 y prepararme para el 2021? || Podcast Cafe Con Absa,"Dec 27, 2020",2351,,,,,5,0
MPN1utMr5OY,Análisis del nuevo Clip Plus Acepta Tarjetas De Credito Y Debito En Tu Smartphone,"Dec 20, 2019",487,,,,,4,0
5EpvxlFZEPE,HAZLO,"Oct 24, 2019",49,,,,,1,0
pmNoPjUxow0,De qué hablas mientras corres?,"Mar 8, 2026",17,,,,,2,0
3Njj8Mf-37M,¿NECESITAS una LAPTOP en 2020? Tal vez NO,"May 21, 2020",476,,,,,6,0
wYZgvg7284M,¿Qué necesito para hacer  videos?,"Mar 29, 2024",775,,,,,12,0
pizTKoCNgkg,Fui A La Presentacion Del Hisense H30,"Aug 15, 2019",745,,,,,5,0
iCwus0rhzVk,"Ten Cuidado, Soy Hacker","Aug 29, 2021",1690,,,,,6,0
49rJVbjugfI,La inteligencia artificial se pone como número uno #chatgpt #ai #artificialintelligence,"Feb 11, 2023",56,,,,,1,0
qs50KeAlCAc,Como Emprender En Las Redes Sociales || Podcast Café Con Absa (ft Adrián Ramiguez),"Apr 26, 2020",2133,,,,,5,0
YgD8OckfwIk,Un Apple Watch me hubiera ayudado mucho con el asma,"Jul 18, 2023",49,,,,,1,0
AbCirjZQnEg,iPad Pro o apuntes digitales?  #apple #ipad #ipadpro #ipadpro11inch,"Sep 7, 2023",56,,,,,16,0
5lx36SQ4Sxk,6 Hacks para Quitarse las Ganas de Comer Azúcar || Podcast Café Con Absa,"Mar 22, 2020",1813,,,,,2,0
LGdYoAX8X-8,"El camion va por ti, si eres lento, medio maratón de Guadalajara","Feb 24, 2026",14,,,,,23,0
bhtgIHk8Fwg,Gatorade G15 número de corredor así suena,"Nov 8, 2025",8,,,,,1,0
 -juATyxOp2Q,El Peligro Mas Grande De Ahora en 2020 Podcast Cafe Con Absa,"Jun 28, 2020",2183,,,,,3,0
_rAMa-48H9I,Desconectado Podcast Cafe Con Absa,"Jul 26, 2020",1858,,,,,4,0
UfSl2_OyiTw,Las 4 MEJORES Apps para INVERTIR y ganar dinero en México,"Sep 16, 2021",519,,,,,15,0
ZgnuYsX2tAc,"NETWORKING, ES LA CLAVE PARA CREAR CONTENIDO EN EL 2024","Nov 29, 2023",60,,,,,3,0
1csaUEfqaCU,20. Porque soy prensa en el Baseball,"Jul 5, 2023",1055,,,,,8,0
OX3shv5bhvQ,"No necesitas ir a terapia, necesitas ir a la MS a verla al palenque","Oct 15, 2024",23,,,,,2,0
nIh6aEh72CM,6. Qué haces cuando te sientes agobiado?,"Mar 22, 2022",1487,,,,,6,0
srAx4tUmAqU,Desahogarse con alguien es mejor que estar detrás de la pantalla,"Jul 29, 2023",59,,,,,5,0
FfvuBysl654,¿Cómo Organizar tu Vida?,"Feb 7, 2022",1525,,,,,6,0
IcGkBWt09CQ,5. Qué hacer con tu adicción a las redes sociales?!,"Mar 14, 2022",972,,,,,12,0
vx-Is7zOhz8,Porque latinoamerica no ha generado un Steve Jobs,"Jun 26, 2023",61,,,,,8,0
uMate_7D2CI,Porque soy fotógrafo en eventos deportivos,"Jul 5, 2023",61,,,,,1,0
K2a867c-YyE,iPhone 12 Pro Max Unboxing en 60s,"Dec 4, 2020",77,,,,,3,0
R_LeAjqBWks,Estamos de regreso y tenemos muchas noticias de tecnología por contar,"Jun 19, 2023",60,,,,,1,0
r1yX1H_77Cs,¿Qué es el Blockchain? (ft. Arturo García),"May 6, 2021",7594,,,,,6,0
9gcYLHRKGDw,DreamFields 2019  Mi Experiencia  Absa Garcia,"Aug 20, 2020",850,,,,,4,0
Sr8o-wudHbk,¿Porque no dejo de sufrir?,"Jul 29, 2021",1113,,,,,6,0
czx-rUOL1wE,Compramos un Nuevo Monitor,"Dec 9, 2021",348,,,,,6,0
_H-K_PB1WDE,"015. Second Brain, un sistema de productividad.","Feb 14, 2023",1186,,,,,7,0
T4KWZjcBkPM,Usé la misma camisa todos los días durante 1 año,"Jan 15, 2021",396,,,,,7,0
M2g140lHgA0,Certamen Señorita San gabriel 2022,"Feb 24, 2022",1590,,,,,21,0
qxaTRsLzCAQ,¿Vale La Pena Actualizar Tu Telefono O Accesorios de Tecnologia Cada Año? || Podcast Café Con Absa,"Oct 25, 2020",2287,,,,,4,0
XBcPaaMeFLA,¿Cómo tener una rutina mañanera exitosa?,"Sep 6, 2023",61,,,,,2,0
mSVjK3JMSv4,La importancia de dejar de depender de nuestro cerebro y crear sistemas que sean sostenibles,"Feb 15, 2023",46,,,,,3,0
fvt7My44ZJU,"Ni idea padre santo, solo estoy esperando el aguinaldo","Dec 1, 2025",8,,,,,1,0
j_HFrKB9GTU,¿Como Hacer que Estudiar Sea Divertido? || Podcast Cafe Con Absa,"Oct 27, 2019",1670,,,,,2,0
QYtJ6EPs4jg,014. Tendencias de Tecnología en el 2023 || Café con Absa,"Feb 7, 2023",1046,,,,,7,0
Ww7_Eio-np0,La Regla del 4% || Podcast Café con Absa,"May 23, 2021",2561,,,,,6,0
BuK7hLJiv9Q,Qué opinas de Talent Land 2025?,"Apr 26, 2025",33,,,,,3,0
BYJQk2u50jo,TALENT LAND ¿COMO SE VIVE UN EVENTO DE TECNOLOGIA EN GUADALAJARA?,"May 16, 2019",1045,,,,,11,0
ouwMPe9wBLM,Beats Studio buds unboxing asmr,"Feb 27, 2024",45,,,,,1,0
6iLXuokGT8k,8. Momento Creativo,"Jul 12, 2022",715,,,,,6,0
OlQrZ9Z9azE,El número de corredor va por enfrente,"Sep 3, 2025",17,,,,,2,0
SnXW1izEV_w,"Apple AirPods Pro, ¿valen la pena?","Mar 15, 2023",36,,,,,5,0
0_21rju3_O4,"Café con Absa, libros que estoy leyendo en la caminadora parte 3","Aug 10, 2023",59,,,,,8,0
0VvgMEzDdFM,México Siempre Atrasado || Podcast Café Con Absa,"Aug 30, 2020",2388,,,,,3,0
goRobymM3ig,¿Cómo hice mi Dashboard?,"Jan 5, 2026",48,,,,,4,0
QNitAbDJkkM,Café con Absa #115 ¡Se un CREATIVO!,"Oct 18, 2021",1772,,,,,6,0
d8YlQTk9D6g,¿Que Es La Fotogrametría?  || Podcast Café Con Absa,"Sep 20, 2020",2077,,,,,4,0
Rn9B_kbVaTU,Me tocó cerrar ciclos,"Feb 11, 2023",191,,,,,7,0
cY7NU7NZj0U,3 Consejos de Ray Dalio para Millennials,"Aug 22, 2021",2139,,,,,6,0
kRDbh2u7YUU,POV: corres el 21k de A cuadalajara,"Feb 28, 2024",53,,,,,1,0
LAJiwMV4QFU,Razones Para Que Tu Negocio Tenga Un App Movil Podcast || Café Con Absa S3 E50,"Oct 18, 2020",2092,,,,,5,0
owNwOIw30SE,ESTO FUE TECATE COORDENADA 2019 ||  ABSA GARCIA,"Nov 1, 2019",1386,,,,,5,0
hweCU3AuNAI,Consejos para millennials para ser más Feliz || Podcast Cafe con Absa,"Feb 21, 2021",2882,,,,,5,0
qucWbBC293I,¿Cuando sale Apple Intelligence? #apple #appleintelligence #ios18,"Oct 2, 2024",61,,,,,1,0
I2j1Bj27YMo,Hazte un café y disfruta de este episodio aquí en mi canal de YouTube,"Jul 5, 2023",60,,,,,2,0
BGpi3fnPSIw,Café con Absa #118   El metaverso será real,"Nov 7, 2021",1577,,,,,7,0
