Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
29h9NChhX7k,Anecdotas De Un Estudiante De Ing En El Ceti Colomos Absa Garcia,"Sep 10, 2020",430,15,0.9067,0,0.014,202,6.93
JGypYw0jkhE,SAN GABRIEL JALISCO  EL DIA DESPUES DE LAS INUNDACIONES 2019,"Jun 4, 2019",891,15,0.9917,0,0.751,160,5
cbef2ucs5hc,San Gabriel Jalisco Inundaciones 2019,"Jun 3, 2019",296,15,0.3515,0,0.864,122,12.3
wU3LEtFK9Qs,Quitarle un plástico a un iPhone es 😍,"Sep 19, 2022",6,14,0.0159,0,0.013,38,5.26
a5HNR18ETIk,"Charros Jalisco, Nuevos uniformes de new era","Oct 18, 2025",75,14,0.1018,0,0.017,102,4.9
SCUHUbdTMwU,Trailer San Gabriel La Verdad de las Inundaciones 2019,"Jun 13, 2019",383,13,0.4563,0,0.275,78,10.26
9RtRUhTVCsY,San Gabriel Jalisco Todas Las Fiestas 2020,"Mar 13, 2020",5590,13,2.119,0,0.512,91,5.49
6b939VsSbH0,Hacks Para Graduarte Del Ceti Colomos || Absa Garcia,"Aug 13, 2020",639,13,1.0108,1,0.196,146,6.85
5paMlYSxvvk,Como Ser Barista En Starbucks,"Aug 6, 2020",423,13,0.2654,0,0.207,75,12
KCRri8UiH4U,San Gabriel Jalisco.  Historia Y Experiencia De Las Inundaciones 2019,"Jun 20, 2019",1772,12,1.5476,1,0.443,101,8.91
OykgpUiUMAg,LOS SOPITOS ESTÁN BIEN BUENOS! | Fiestas de San Gabriel Jalisco 2017 | Absa García,"Jan 19, 2017",808,12,0.3841,0,0.487,153,4.58
RU2UChJnajQ,Los Peores Semestres del Ceti en Tecnologo,"Dec 11, 2020",891,10,0.0801,0,0.486,84,7.14
Cm3E2f0T8J0,"iPhone 14 pro max, el morado esta bonito 😍","Sep 17, 2022",6,10,0.0098,0,0.012,26,0
guCe3Oo2sWE,¿Dónde Comprar En El Mercado De Abastos Guadalajara? || Absa Garcia,"Oct 15, 2020",947,10,0.3141,0,0.212,110,2.73
f-6JUm_RAEY,San Gabriel Jalisco Reparto de decimas 2025,"Apr 1, 2025",563,10,0.6576,0,0.639,90,10
NJjqIna_rbY,Como posar para fotos en New York,"Nov 25, 2022",13,10,0.0167,0,0.011,65,4.62
_o9WbnLUP_E,Charros de jalisco ¿Cómo es un partido de Baseball de los Charros?,"Nov 11, 2021",877,9,0.8519,0,0.477,82,8.54
Vl9xr9GUGe0,"San Gabriel Jalisco, Único Viernes de las Fiestas 2022","Jan 27, 2022",680,9,0.2429,0,0.084,134,3.73
i2Uw1LrcVKI,Los mejores tacos en New York son estos! La taqueria no. 1,"Jul 25, 2023",26,9,0.0371,0,0.029,48,6.25
htXuT-DwtHY,Cómo iniciar un podcast 7 pasos para principiantes de podcasting!,"Jul 11, 2019",869,9,0.2007,0,0.015,147,2.04
XySruUBerZM,Cómo agregar chatgpt a mi iPhone en la pantalla de bloqueo?,"Jul 16, 2023",61,9,0.0692,0,0.005,27,0
