"Top territories","Distribution"
"MX","0.512"
"PE","0.086"
"CO","0.064"
"BO","0.032"
"EC","0.025"
"GT","0.024"
"AR","0.022"
"US","0.015"
"CL","0.014"
"VE","0.014"
"Others","0.192"
